,City,Coordinates,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,santa marta,"-74.2,   11.24",11.24,11.24,89.6,75,40,6.93,CO,1598284327
1,rikitea,"-134.97,   -23.12",-23.12,-23.12,72.03,85,0,18.34,PF,1598284584
2,cidreira,"-50.21,   -30.18",-30.18,-30.18,64.8,66,0,17.38,BR,1598284584
3,husavik,"-17.34,   66.04",66.04,66.04,53.6,66,20,4.7,IS,1598284584
4,new norfolk,"147.06,   -42.78",-42.78,-42.78,34.45,93,40,4.7,AU,1598284585
5,puerto escondido,"-97.07,   15.85",15.85,15.85,78.8,69,90,5.7,MX,1598284585
6,buchmany,"28.04,   51.07",51.07,51.07,71.76,68,87,2.01,UA,1598284585
7,constitucion,"-72.42,   -35.33",-35.33,-35.33,52.81,82,100,24.76,CL,1598284585
8,puerto ayora,"-90.35,   -0.74",-0.74,-0.74,69.93,73,75,5.82,EC,1598284586
9,raudeberg,"5.14,   61.99",61.99,61.99,50.0,84,100,17.2,NO,1598284586
10,roma,"-75.46,   43.21",43.21,43.21,80.13,57,1,3.36,US,1598284359
11,ushuaia,"-68.3,   -54.8",-54.8,-54.8,33.8,80,75,23.04,AR,1598284450
12,punta arenas,"-70.92,   -53.15",-53.15,-53.15,39.11,60,20,11.41,CL,1598284380
13,east london,"27.91,   -33.02",-33.02,-33.02,59.0,100,90,10.29,ZA,1598284587
14,lorengau,"147.27,   -2.02",-2.02,-2.02,80.65,74,100,7.76,PG,1598284588
15,vaini,"-175.2,   -21.2",-21.2,-21.2,73.4,94,20,8.05,TO,1598284588
16,barrow,"-156.79,   71.29",71.29,71.29,39.2,93,90,1.19,US,1598284588
17,te anau,"167.72,   -45.42",-45.42,-45.42,44.55,90,90,4.25,NZ,1598284589
18,mataura,"168.86,   -46.19",-46.19,-46.19,48.0,94,93,11.01,NZ,1598284589
19,saint-pierre,"55.48,   -21.34",-21.34,-21.34,66.43,68,11,5.82,RE,1598284589
20,lompoc,"-120.46,   34.64",34.64,34.64,62.24,93,90,4.03,US,1598284589
21,camopi,"-52.32,   3.17",3.17,3.17,86.86,64,47,3.62,GF,1598284589
22,albany,"-73.97,   42.6",42.6,42.6,82.0,76,0,1.97,US,1598284375
23,pisco,"-76.22,   -13.7",-13.7,-13.7,64.65,77,75,6.93,PE,1598284333
24,tiksi,"128.87,   71.69",71.69,71.69,36.88,86,0,13.62,RU,1598284590
25,harper,"-7.72,   4.38",4.38,4.38,78.93,72,66,8.79,LR,1598284590
26,bluff,"168.33,   -46.6",-46.6,-46.6,48.0,94,78,11.01,NZ,1598284590
27,atuona,"-139.03,   -9.8",-9.8,-9.8,77.92,78,15,18.07,PF,1598284591
28,gondanglegi,"112.01,   -7.75",-7.75,-7.75,74.01,83,0,10.0,ID,1598284591
29,saint-philippe,"55.77,   -21.36",-21.36,-21.36,65.39,68,43,5.82,RE,1598284591
30,thompson,"-97.86,   55.74",55.74,55.74,48.2,93,90,12.75,CA,1598284592
31,georgetown,"100.34,   5.41",5.41,5.41,80.11,94,20,3.36,MY,1598284464
32,pevek,"170.31,   69.7",69.7,69.7,38.14,98,100,5.68,RU,1598284592
33,hobart,"147.33,   -42.88",-42.88,-42.88,35.53,84,40,4.7,AU,1598284490
34,lolodorf,"10.73,   3.23",3.23,3.23,72.3,88,100,2.89,CM,1598284594
35,arraial do cabo,"-42.03,   -22.97",-22.97,-22.97,71.6,60,75,10.29,BR,1598284594
36,puri,"85.85,   19.8",19.8,19.8,84.2,94,75,10.29,IN,1598284594
37,road town,"-64.62,   18.42",18.42,18.42,85.39,70,41,8.05,VG,1598284524
38,sexsmith,"-118.79,   55.35",55.35,55.35,51.8,100,90,3.96,CA,1598284595
